Tip,test,,,Tilt,test,,,,,
1535,1534.95,-0.05,,1863,1863.05,0.05,,,,
1532,1532.24,0.24,,2200,2199.7,-0.3,,,,
1555,1554.76,-0.24,,1541,1540.83,-0.17,,,,
345,344.94,-0.06,,798,797.84,-0.16,,,,
588,588.35,0.35,,1635,1634.69,-0.31,,,,
652,651.73,-0.27,,1070,1070.29,0.29,,,,
683,683.3,0.3,,1719,1719.46,0.46,,,,
1395,1395.17,0.17,,2087,2087.42,0.42,,,,
1167,1166.89,-0.11,,843,842.74,-0.26,,,,
1016,1015.66,-0.34,,788,787.9,-0.1,,,,
1955,1954.97,-0.03,,1468,1468.06,0.06,,,,
1806,1806,0,,1336,1335.62,-0.38,,,,
677,676.85,-0.15,,296,296.11,0.11,,,,
133,132.91,-0.09,,1353,1352.79,-0.21,,,,
1409,1408.65,-0.35,,270,269.95,-0.05,,,,
1810,1810.4,0.4,,1858,1857.63,-0.37,,,,
588,588.47,0.47,,353,353.14,0.14,,,,
758,758.07,0.07,,1965,1964.55,-0.45,,,,
225,225.27,0.27,,1383,1382.93,-0.07,,,,
486,486.41,0.41,,1175,1174.89,-0.11,,,,
498,498.02,0.02,,1348,1347.67,-0.33,,,,
1772,1771.71,-0.29,,1222,1221.96,-0.04,,,,
515,515.12,0.12,,748,748.45,0.45,,,,
126,126.15,0.15,,167,166.89,-0.11,,,,
1215,1214.76,-0.24,,1179,1178.98,-0.02,,,,
1009,1009.43,0.43,,502,502.05,0.05,,,,
1014,1013.78,-0.22,,728,727.51,-0.49,,,,
309,308.85,-0.15,,1963,1963.26,0.26,,,,
2173,2172.79,-0.21,,1545,1544.76,-0.24,,,,
1578,1577.99,-0.01,,1037,1037.05,0.05,,,,
1321,1320.92,-0.08,,718,718.13,0.13,,,,
1526,1525.69,-0.31,,790,789.96,-0.04,,,,
1553,1553.13,0.13,,2111,2110.78,-0.22,,,,
1181,1181.04,0.04,,433,432.79,-0.21,,,,
2200,2200.35,0.35,,415,414.71,-0.29,,,,
257,256.84,-0.16,,1047,1046.68,-0.32,,,,
1845,1844.81,-0.19,,882,881.72,-0.28,,,,
641,640.81,-0.19,,1584,1583.89,-0.11,,,,
1092,1091.92,-0.08,,28,27.78,-0.22,,,,
319,318.89,-0.11,,888,887.93,-0.07,,,,
690,689.95,-0.05,,46,46.04,0.04,,,,
2019,2018.8,-0.2,,324,324.21,0.21,,,,
1528,1528.17,0.17,,644,643.81,-0.19,,,,
1545,1544.94,-0.06,,1848,1848.17,0.17,,,,
2008,2007.89,-0.11,,1098,1098.25,0.25,,,,
242,241.9,-0.1,,1281,1281.23,0.23,,,,
376,375.7,-0.3,,1745,1745.42,0.42,,,,
1919,1919.05,0.05,,2100,2099.75,-0.25,,,,
1310,1309.69,-0.31,,181,180.88,-0.12,,,,
368,367.98,-0.02,,857,856.93,-0.07,,,,
1914,1914.17,0.17,,1614,1614.13,0.13,,,,
851,851.22,0.22,,1026,1026.08,0.08,,,,
1702,1702.02,0.02,,1282,1282.03,0.03,,,,
1266,1265.54,-0.46,,90,89.85,-0.15,,,,
141,140.95,-0.05,,1173,1172.73,-0.27,,,,
58,58.04,0.04,,915,914.7,-0.3,,,,
2174,2174.22,0.22,,1574,1573.89,-0.11,,,,
1542,1541.92,-0.08,,391,390.96,-0.04,,,,
398,398.11,0.11,,1397,1396.98,-0.02,,,,
814,813.79,-0.21,,1719,1719.26,0.26,,,,
2068,2068.2,0.2,,523,523.06,0.06,,,,
1094,1093.87,-0.13,,437,436.74,-0.26,,,,
1140,1139.67,-0.33,,1653,1652.87,-0.13,,,,
822,821.95,-0.05,,98,97.73,-0.27,,,,
899,899.34,0.34,,359,358.76,-0.24,,,,
323,322.94,-0.06,,221,221.02,0.02,,,,
2043,2042.76,-0.24,,741,741.04,0.04,,,,
487,486.81,-0.19,,2105,2105.04,0.04,,,,
1317,1316.75,-0.25,,1674,1673.78,-0.22,,,,
966,966.01,0.01,,194,193.77,-0.23,,,,
799,799.01,0.01,,454,453.75,-0.25,,,,
1874,1874.12,0.12,,1393,1392.99,-0.01,,,,
121,121.05,0.05,,1654,1653.8,-0.2,,,,
422,422.08,0.08,,164,164.21,0.21,,,,
376,375.84,-0.16,,796,795.85,-0.15,,,,
845,845.17,0.17,,1836,1836.12,0.12,,,,
597,597.02,0.02,,91,90.82,-0.18,,,,
1933,1933.02,0.02,,1291,1290.62,-0.38,,,,
1240,1240.1,0.1,,1719,1718.73,-0.27,,,,
1147,1146.99,-0.01,,1546,1546.01,0.01,,,,
631,630.57,-0.43,,1095,1095.06,0.06,,,,
223,222.96,-0.04,,1871,1870.75,-0.25,,,,
979,979.37,0.37,,837,836.89,-0.11,,,,
976,975.82,-0.18,,1356,1355.76,-0.24,,,,
1640,1639.97,-0.03,,1257,1256.84,-0.16,,,,
1169,1168.9,-0.1,,994,994.05,0.05,,,,
2158,2158.15,0.15,,509,508.97,-0.03,,,,
651,651.27,0.27,,1730,1729.9,-0.1,,,,
155,155.46,0.46,,2084,2083.69,-0.31,,,,
1330,1329.91,-0.09,,1098,1098.25,0.25,,,,
1829,1829.06,0.06,,2056,2055.85,-0.15,,,,
1588,1587.84,-0.16,,567,566.68,-0.32,,,,
710,709.79,-0.21,,485,484.66,-0.34,,,,
1403,1402.7,-0.3,,557,557.13,0.13,,,,
1929,1928.83,-0.17,,1029,1029.2,0.2,,,,
1457,1456.97,-0.03,,503,502.74,-0.26,,,,
11,11.03,0.03,,1814,1813.66,-0.34,,,,
720,720.05,0.05,,983,983.06,0.06,,,,
2073,2073.02,0.02,,204,204.27,0.27,,,,
263,263.13,0.13,,1626,1626.18,0.18,,,,
1007,1007.43,0.43,,2117,2117.07,0.07,,,,
788,788.03,0.03,,1823,1823.18,0.18,,,,
1023,1023.32,0.32,,155,154.78,-0.22,,,,
1463,1462.88,-0.12,,1329,1328.8,-0.2,,,,
1087,1086.76,-0.24,,55,54.79,-0.21,,,,
1703,1702.75,-0.25,,1487,1486.77,-0.23,,,,
1648,1647.94,-0.06,,786,785.99,-0.01,,,,
1864,1864.3,0.3,,1441,1440.93,-0.07,,,,
1422,1422.42,0.42,,816,815.76,-0.24,,,,
1892,1891.7,-0.3,,2022,2021.66,-0.34,,,,
1882,1882.48,0.48,,1022,1022.03,0.03,,,,
2198,2198.17,0.17,,132,132.3,0.3,,,,
329,328.77,-0.23,,1153,1152.64,-0.36,,,,
741,740.89,-0.11,,79,78.92,-0.08,,,,
1132,1132.09,0.09,,703,702.55,-0.45,,,,
1396,1395.97,-0.03,,1950,1949.73,-0.27,,,,
1910,1910.24,0.24,,1251,1250.67,-0.33,,,,
810,809.86,-0.14,,1823,1823.12,0.12,,,,
1406,1406.39,0.39,,2138,2137.75,-0.25,,,,
1231,1230.95,-0.05,,526,525.72,-0.28,,,,
1046,1045.96,-0.04,,22,21.67,-0.33,,,,
1735,1734.86,-0.14,,1426,1426.15,0.15,,,,
1310,1309.71,-0.29,,1337,1336.68,-0.32,,,,
161,161.45,0.45,,1073,1073.03,0.03,,,,
1755,1755.34,0.34,,1142,1142.19,0.19,,,,
1206,1205.88,-0.12,,777,776.96,-0.04,,,,
293,292.7,-0.3,,1177,1176.89,-0.11,,,,
1197,1197.01,0.01,,1189,1188.74,-0.26,,,,
928,927.99,-0.01,,1179,1178.98,-0.02,,,,
2057,2056.9,-0.1,,1483,1482.8,-0.2,,,,
927,926.94,-0.06,,347,346.73,-0.27,,,,
1285,1284.9,-0.1,,1225,1224.97,-0.03,,,,
1340,1340.45,0.45,,1300,1299.84,-0.16,,,,
1951,1950.62,-0.38,,64,64.06,0.06,,,,
1026,1026.5,0.5,,178,178.4,0.4,,,,
1265,1264.72,-0.28,,682,682.13,0.13,,,,
2064,2064.19,0.19,,1937,1937.33,0.33,,,,
417,416.94,-0.06,,1597,1596.81,-0.19,,,,
744,743.76,-0.24,,1059,1058.98,-0.02,,,,
898,898.07,0.07,,1120,1119.86,-0.14,,,,
501,500.86,-0.14,,565,565.27,0.27,,,,
801,800.54,-0.46,,839,838.54,-0.46,,,,
2000,1999.85,-0.15,,1928,1928.48,0.48,,,,
1388,1387.85,-0.15,,100,99.66,-0.34,,,,
349,349.09,0.09,,2177,2176.92,-0.08,,,,
291,291.46,0.46,,856,856.12,0.12,,,,
1821,1821.36,0.36,,538,537.86,-0.14,,,,
1498,1498.26,0.26,,1220,1219.7,-0.3,,,,
8,8.16,0.16,,1275,1274.6,-0.4,,,,
375,375.01,0.01,,180,180.16,0.16,,,,
1737,1737.02,0.02,,332,331.95,-0.05,,,,
1814,1814.04,0.04,,437,436.54,-0.46,,,,
2250,2250.28,0.28,,1042,1042.04,0.04,,,,
1678,1677.89,-0.11,,2006,2005.63,-0.37,,,,
162,161.73,-0.27,,1543,1543.07,0.07,,,,
168,168.2,0.2,,508,507.86,-0.14,,,,
1216,1215.65,-0.35,,1313,1312.92,-0.08,,,,
293,292.68,-0.32,,167,167.01,0.01,,,,
2170,2170.01,0.01,,1586,1585.83,-0.17,,,,
1405,1404.78,-0.22,,2032,2032.44,0.44,,,,
2030,2030.09,0.09,,515,514.93,-0.07,,,,
803,802.94,-0.06,,1039,1039.28,0.28,,,,
1532,1531.96,-0.04,,519,518.62,-0.38,,,,
1903,1903.11,0.11,,2194,2193.65,-0.35,,,,
2265,2264.79,-0.21,,1140,1139.77,-0.23,,,,
97,97.08,0.08,,83,82.71,-0.29,,,,
153,152.92,-0.08,,2248,2247.9,-0.1,,,,
1419,1419.42,0.42,,708,707.93,-0.07,,,,
2005,2005.07,0.07,,4,3.91,-0.09,,,,
397,397.01,0.01,,1295,1295.26,0.26,,,,
506,506.35,0.35,,247,246.98,-0.02,,,,
185,185.48,0.48,,1019,1018.74,-0.26,,,,
1040,1040.19,0.19,,1307,1307.15,0.15,,,,
224,224.12,0.12,,135,134.7,-0.3,,,,
45,44.93,-0.07,,158,158.12,0.12,,,,
512,511.91,-0.09,,189,189.11,0.11,,,,
1375,1374.99,-0.01,,2272,2272.11,0.11,,,,
582,582.04,0.04,,1687,1686.74,-0.26,,,,
1890,1889.92,-0.08,,1762,1762.13,0.13,,,,
1645,1645.13,0.13,,1595,1595.16,0.16,,,,
284,283.96,-0.04,,1591,1591.11,0.11,,,,
1163,1162.53,-0.47,,245,244.99,-0.01,,,,
1443,1442.54,-0.46,,2125,2124.67,-0.33,,,,
1554,1553.94,-0.06,,1396,1396.05,0.05,,,,
1108,1108.11,0.11,,2178,2178.15,0.15,,,,
724,724,0,,1521,1520.81,-0.19,,,,
1501,1501.24,0.24,,1298,1297.72,-0.28,,,,
188,188.3,0.3,,1514,1513.8,-0.2,,,,
245,245.29,0.29,,995,994.79,-0.21,,,,
998,997.8,-0.2,,2142,2142.09,0.09,,,,
746,745.87,-0.13,,2046,2046.13,0.13,,,,
2,1.89,-0.11,,833,832.9,-0.1,,,,
2165,2164.87,-0.13,,1951,1950.88,-0.12,,,,
1886,1886.11,0.11,,1941,1941.04,0.04,,,,
1464,1463.68,-0.32,,2285,2284.89,-0.11,,,,
86,86.02,0.02,,796,795.81,-0.19,,,,
455,454.88,-0.12,,1246,1245.65,-0.35,,,,
877,876.62,-0.38,,663,662.78,-0.22,,,,
831,831.14,0.14,,2080,2079.92,-0.08,,,,
258,258.35,0.35,,1131,1131.05,0.05,,,,
2276,2276.22,0.22,,1557,1557.04,0.04,,,,
570,570.45,0.45,,1403,1403.09,0.09,,,,
1238,1238.17,0.17,,2222,2222.2,0.2,,,,
749,748.68,-0.32,,653,653.16,0.16,,,,
74,73.94,-0.06,,1145,1144.61,-0.39,,,,
1697,1697.34,0.34,,1109,1108.65,-0.35,,,,
1815,1815.11,0.11,,163,162.76,-0.24,,,,
1477,1477.07,0.07,,668,667.7,-0.3,,,,
8,8.1,0.1,,627,626.82,-0.18,,,,
1427,1427.14,0.14,,432,432.14,0.14,,,,
1571,1571.01,0.01,,841,840.6,-0.4,,,,
1244,1243.98,-0.02,,1411,1410.81,-0.19,,,,
1779,1779.21,0.21,,1002,1001.99,-0.01,,,,
234,233.88,-0.12,,1980,1980.19,0.19,,,,
981,980.88,-0.12,,1090,1090.14,0.14,,,,
573,573.15,0.15,,485,484.7,-0.3,,,,
913,913.13,0.13,,1829,1828.54,-0.46,,,,
77,77.03,0.03,,1534,1533.98,-0.02,,,,
1187,1186.99,-0.01,,46,45.9,-0.1,,,,
196,196.35,0.35,,2022,2021.54,-0.46,,,,
1864,1864.18,0.18,,970,970.08,0.08,,,,
681,681.16,0.16,,2029,2028.82,-0.18,,,,
60,59.91,-0.09,,71,70.82,-0.18,,,,
1004,1003.58,-0.42,,934,933.93,-0.07,,,,
700,700.46,0.46,,409,408.84,-0.16,,,,
615,614.76,-0.24,,1,0.91,-0.09,,,,
1242,1241.76,-0.24,,699,698.86,-0.14,,,,
2098,2098.34,0.34,,1967,1966.79,-0.21,,,,
2272,2272.13,0.13,,1392,1391.8,-0.2,,,,
721,720.88,-0.12,,1052,1052.39,0.39,,,,
1356,1356.12,0.12,,1824,1823.8,-0.2,,,,
1696,1695.87,-0.13,,14,13.79,-0.21,,,,
913,913.05,0.05,,1309,1308.83,-0.17,,,,
923,923.09,0.09,,354,353.87,-0.13,,,,
1746,1745.95,-0.05,,1832,1832.07,0.07,,,,
441,440.77,-0.23,,643,643.02,0.02,,,,
1758,1758.24,0.24,,402,401.72,-0.28,,,,
1476,1475.64,-0.36,,1558,1558.11,0.11,,,,
2009,2009.38,0.38,,243,243.01,0.01,,,,
1609,1609.03,0.03,,149,148.85,-0.15,,,,
957,957.3,0.3,,79,78.88,-0.12,,,,
896,895.97,-0.03,,858,858.02,0.02,,,,
1482,1482.09,0.09,,91,90.86,-0.14,,,,
2001,2000.57,-0.43,,1715,1715,0,,,,
2123,2122.67,-0.33,,162,161.71,-0.29,,,,
1428,1428.15,0.15,,1442,1442.03,0.03,,,,
2093,2093.32,0.32,,1977,1976.87,-0.13,,,,
1161,1160.94,-0.06,,1769,1768.99,-0.01,,,,
2099,2098.79,-0.21,,543,542.57,-0.43,,,,
1792,1792.21,0.21,,1508,1508.18,0.18,,,,
1490,1490.42,0.42,,648,648.08,0.08,,,,
42,41.95,-0.05,,1064,1064.12,0.12,,,,
972,971.85,-0.15,,2242,2242.07,0.07,,,,
1615,1615.12,0.12,,263,263.01,0.01,,,,
1898,1898.09,0.09,,821,821.43,0.43,,,,
1221,1220.97,-0.03,,1165,1164.81,-0.19,,,,
2206,2206.03,0.03,,1041,1041,0,,,,
1966,1966,0,,703,702.53,-0.47,,,,
320,319.72,-0.28,,1143,1143.18,0.18,,,,
44,43.99,-0.01,,850,850.13,0.13,,,,
1799,1798.99,-0.01,,2234,2233.57,-0.43,,,,
573,573.41,0.41,,2106,2105.64,-0.36,,,,
96,96.22,0.22,,1856,1856.03,0.03,,,,
1738,1737.74,-0.26,,1370,1370.15,0.15,,,,
1502,1502.21,0.21,,1664,1663.58,-0.42,,,,
1094,1094.03,0.03,,1184,1183.94,-0.06,,,,
1393,1392.75,-0.25,,338,337.88,-0.12,,,,
533,533.14,0.14,,2071,2070.95,-0.05,,,,
894,894.24,0.24,,39,39.11,0.11,,,,
326,326.13,0.13,,1543,1543.31,0.31,,,,
1444,1444.21,0.21,,229,229,0,,,,
385,384.85,-0.15,,1255,1255.4,0.4,,,,
416,416.02,0.02,,2228,2228.14,0.14,,,,
2061,2060.95,-0.05,,751,750.89,-0.11,,,,
1825,1824.91,-0.09,,1872,1872.16,0.16,,,,
239,239.04,0.04,,875,875.19,0.19,,,,
2227,2227,0,,2275,2275.32,0.32,,,,
20,20,0,,1074,1074.08,0.08,,,,
445,444.78,-0.22,,770,769.98,-0.02,,,,
340,339.8,-0.2,,558,557.75,-0.25,,,,
1131,1130.99,-0.01,,685,685.2,0.2,,,,
517,517.31,0.31,,229,228.94,-0.06,,,,
1043,1042.67,-0.33,,562,561.78,-0.22,,,,
1443,1443.35,0.35,,712,712.37,0.37,,,,
530,530.32,0.32,,882,881.64,-0.36,,,,
2254,2254.05,0.05,,920,920.21,0.21,,,,
1937,1936.95,-0.05,,986,985.78,-0.22,,,,
1070,1070.31,0.31,,2129,2128.58,-0.42,,,,
1378,1378.29,0.29,,2294,2293.96,-0.04,,,,
125,124.86,-0.14,,3,3,0,,,,
382,381.97,-0.03,,451,451.25,0.25,,,,
605,605.1,0.1,,258,257.81,-0.19,,,,
2266,2266.22,0.22,,261,261.1,0.1,,,,
417,417,0,,2266,2265.96,-0.04,,,,
1506,1506.14,0.14,,539,538.96,-0.04,,,,
1437,1436.69,-0.31,,2048,2048.07,0.07,,,,
2246,2245.86,-0.14,,1161,1160.76,-0.24,,,,
61,60.94,-0.06,,216,216.14,0.14,,,,
150,150.16,0.16,,347,346.59,-0.41,,,,
1795,1795.46,0.46,,1516,1515.63,-0.37,,,,
1916,1915.54,-0.46,,2299,2299.1,0.1,,,,
1765,1765.02,0.02,,2079,2078.87,-0.13,,,,
388,387.98,-0.02,,920,920.06,0.06,,,,
1054,1053.8,-0.2,,1800,1799.89,-0.11,,,,
1767,1767.48,0.48,,1977,1976.89,-0.11,,,,
1620,1619.96,-0.04,,1010,1009.99,-0.01,,,,
1912,1912.26,0.26,,1432,1432.3,0.3,,,,
1923,1922.92,-0.08,,1056,1055.81,-0.19,,,,
1910,1910.02,0.02,,1077,1077.32,0.32,,,,
2172,2172.47,0.47,,710,710.25,0.25,,,,
55,55.01,0.01,,1518,1517.99,-0.01,,,,
1723,1723.25,0.25,,1077,1076.76,-0.24,,,,
276,276.34,0.34,,1998,1998.44,0.44,,,,
1463,1463.04,0.04,,1887,1886.72,-0.28,,,,
968,967.74,-0.26,,1800,1800.15,0.15,,,,
2196,2196.33,0.33,,1705,1704.76,-0.24,,,,
1232,1232.16,0.16,,2203,2203.01,0.01,,,,
2006,2005.75,-0.25,,59,58.68,-0.32,,,,
1680,1680.05,0.05,,1148,1147.86,-0.14,,,,
1659,1659.2,0.2,,516,515.78,-0.22,,,,
189,188.58,-0.42,,738,738.35,0.35,,,,
1278,1277.58,-0.42,,1534,1534.1,0.1,,,,
1569,1569.05,0.05,,1566,1566.17,0.17,,,,
253,253.07,0.07,,1384,1383.78,-0.22,,,,
2202,2201.74,-0.26,,967,966.99,-0.01,,,,
457,456.84,-0.16,,1785,1785.02,0.02,,,,
2133,2132.77,-0.23,,1190,1190.13,0.13,,,,
981,981.04,0.04,,1106,1106.21,0.21,,,,
1167,1166.63,-0.37,,894,893.86,-0.14,,,,
629,629.05,0.05,,1601,1600.68,-0.32,,,,
1198,1198.09,0.09,,1412,1411.96,-0.04,,,,
695,694.97,-0.03,,1600,1599.66,-0.34,,,,
25,25.12,0.12,,1288,1288.04,0.04,,,,
301,300.89,-0.11,,1182,1182.05,0.05,,,,
979,979.09,0.09,,1940,1940.26,0.26,,,,
1883,1882.64,-0.36,,645,645.18,0.18,,,,